binder,extra water,alkaline solution,molarity of mix,fine aggregate,coarse aggregate,age,curing temperature,compressive strength,water,pozzolan,foaming agent,density,concrete type,water binder ratio
413.34,13.0,186.0,8.0,640.66,1281.32,28.0,28.0,73.34,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,28.0,28.0,74.3,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,28.0,28.0,75.29,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,28.0,28.0,76.27,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,28.0,28.0,74.84,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,28.0,28.0,73.39,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,28.0,28.0,71.98,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,28.0,28.0,70.54,,,,,0,0.48144384767987614
450.0,52.0,158.0,12.5,630.0,1158.0,7.0,28.0,50.61226,,,,,0,0.4666666666666667
450.0,52.0,158.0,12.5,630.0,1158.0,7.0,28.0,37.21949,,,,,0,0.4666666666666667
450.0,52.0,158.0,12.5,630.0,1158.0,7.0,28.0,31.45621,,,,,0,0.4666666666666667
450.0,52.0,158.0,12.5,630.0,1158.0,7.0,28.0,25.06171,,,,,0,0.4666666666666667
450.0,52.0,158.0,12.5,630.0,1158.0,7.0,28.0,22.61918,,,,,0,0.4666666666666667
450.0,52.0,158.0,12.5,630.0,1158.0,7.0,28.0,22.01541,,,,,0,0.4666666666666667
450.0,52.0,158.0,12.5,630.0,1158.0,28.0,28.0,54.2349,,,,,0,0.4666666666666667
450.0,52.0,158.0,12.5,630.0,1158.0,28.0,28.0,43.31211,,,,,0,0.4666666666666667
450.0,52.0,158.0,12.5,630.0,1158.0,28.0,28.0,42.379,,,,,0,0.4666666666666667
450.0,52.0,158.0,12.5,630.0,1158.0,28.0,28.0,35.40818,,,,,0,0.4666666666666667
450.0,52.0,158.0,12.5,630.0,1158.0,28.0,28.0,30.52311,,,,,0,0.4666666666666667
450.0,52.0,158.0,12.5,630.0,1158.0,28.0,28.0,26.90047,,,,,0,0.4666666666666667
450.0,52.0,158.0,12.5,630.0,1158.0,56.0,28.0,60.93128,,,,,0,0.4666666666666667
450.0,52.0,158.0,12.5,630.0,1158.0,56.0,28.0,48.16973,,,,,0,0.4666666666666667
450.0,52.0,158.0,12.5,630.0,1158.0,56.0,28.0,44.51965,,,,,0,0.4666666666666667
450.0,52.0,158.0,12.5,630.0,1158.0,56.0,28.0,36.61572,,,,,0,0.4666666666666667
450.0,52.0,158.0,12.5,630.0,1158.0,56.0,28.0,35.10629,,,,,0,0.4666666666666667
450.0,52.0,158.0,12.5,630.0,1158.0,56.0,28.0,31.7581,,,,,0,0.4666666666666667
310.0,0.0,171.0,10.0,649.0,1204.0,3.0,28.0,41.2251,,,,,0,0.5516129032258065
310.0,0.0,171.0,10.0,649.0,1204.0,3.0,28.0,50.52259,,,,,0,0.5516129032258065
310.0,0.0,171.0,10.0,649.0,1204.0,3.0,28.0,62.89062,,,,,0,0.5516129032258065
310.0,0.0,171.0,10.0,649.0,1204.0,3.0,28.0,60.271,,,,,0,0.5516129032258065
310.0,0.0,171.0,10.0,649.0,1204.0,7.0,28.0,43.13613,,,,,0,0.5516129032258065
310.0,0.0,171.0,10.0,649.0,1204.0,7.0,28.0,52.41215,,,,,0,0.5516129032258065
310.0,0.0,171.0,10.0,649.0,1204.0,7.0,28.0,63.85687,,,,,0,0.5516129032258065
310.0,0.0,171.0,10.0,649.0,1204.0,7.0,28.0,61.23725,,,,,0,0.5516129032258065
310.0,0.0,171.0,10.0,649.0,1204.0,28.0,28.0,44.7895,,,,,0,0.5516129032258065
310.0,0.0,171.0,10.0,649.0,1204.0,28.0,28.0,54.55938,,,,,0,0.5516129032258065
310.0,0.0,171.0,10.0,649.0,1204.0,28.0,28.0,64.09306,,,,,0,0.5516129032258065
310.0,0.0,171.0,10.0,649.0,1204.0,28.0,28.0,61.70964,,,,,0,0.5516129032258065
310.0,0.0,171.0,10.0,649.0,1204.0,90.0,28.0,45.51955,,,,,0,0.5516129032258065
310.0,0.0,171.0,10.0,649.0,1204.0,90.0,28.0,57.65138,,,,,0,0.5516129032258065
310.0,0.0,171.0,10.0,649.0,1204.0,90.0,28.0,65.03784,,,,,0,0.5516129032258065
310.0,0.0,171.0,10.0,649.0,1204.0,90.0,28.0,62.18203,,,,,0,0.5516129032258065
327.0,22.0,163.0,8.0,672.0,1248.0,28.0,28.0,31.33,,,,,0,0.5657492354740061
394.3,0.0,157.7,16.0,646.8,1201.2,28.0,28.0,50.66,,,,,0,0.3999492772001014
408.9,0.0,143.11,16.0,554.0,1294.0,28.0,28.0,71.07,,,,,0,0.34998777207141113
410.0,79.2,184.5,10.0,530.6,1044.4,7.0,75.0,10.55,,,,,0,0.6431707317073171
410.0,79.2,184.5,10.0,530.6,1044.4,28.0,75.0,31.09,,,,,0,0.6431707317073171
410.0,79.2,184.5,10.0,530.6,1044.4,56.0,75.0,32.22,,,,,0,0.6431707317073171
410.0,79.2,184.5,10.0,530.6,1044.4,90.0,75.0,34.02,,,,,0,0.6431707317073171
410.0,79.2,184.5,10.0,530.6,1044.4,7.0,23.0,4.51,,,,,0,0.6431707317073171
410.0,79.2,184.5,10.0,530.6,1044.4,28.0,23.0,10.05,,,,,0,0.6431707317073171
410.0,79.2,184.5,10.0,530.6,1044.4,56.0,23.0,13.98,,,,,0,0.6431707317073171
410.0,79.2,184.5,10.0,530.6,1044.4,90.0,23.0,19.68,,,,,0,0.6431707317073171
424.8,0.0,158.4,14.0,600.0,1200.0,3.0,23.0,53.8,,,,,0,0.3728813559322034
424.8,0.0,158.4,14.0,598.56,1197.12,3.0,23.0,34.8,,,,,0,0.3728813559322034
424.8,0.0,158.4,14.0,589.92,1179.84,3.0,23.0,29.4,,,,,0,0.3728813559322034
424.8,22.32,158.4,14.0,584.4,1168.8,3.0,23.0,36.3,,,,,0,0.42542372881355933
424.8,3.36,158.4,14.0,594.48,1192.8,3.0,23.0,74.5,,,,,0,0.3807909604519774
424.8,7.2,158.4,14.0,587.52,1192.8,3.0,23.0,67.6,,,,,0,0.38983050847457623
424.8,9.6,158.4,14.0,584.16,1192.8,3.0,23.0,64.4,,,,,0,0.39548022598870053
424.8,40.8,158.4,14.0,580.8,1180.8,3.0,23.0,55.6,,,,,0,0.46892655367231634
424.8,35.28,158.4,14.0,585.6,1185.6,3.0,23.0,44.4,,,,,0,0.45593220338983054
424.8,9.6,158.4,14.0,585.6,1183.2,3.0,23.0,66.9,,,,,0,0.39548022598870053
424.8,9.6,158.4,14.0,585.6,1183.2,3.0,23.0,62.4,,,,,0,0.39548022598870053
424.8,9.6,158.4,14.0,585.6,1183.2,3.0,23.0,57.1,,,,,0,0.39548022598870053
